"Yes","Sim"
"Choose how the shipping price will be sent to PagSeguro Checkout.","Escolha como o valor do frete será enviado ao PagSeguro"
"By default, this module uses the custom success page.","Por padrão, este módulo utiliza o página de sucesso personalizada."
"Beginning of Return","Início do Retorno"
"Post Data","Dados do Post"
"End of Post Data","Fim de Dados do Post"
"Ending of Return","Fim do Retorno"
"Confirmation Success!","Sucesso na Confirmação!"
"Confirmation Denied...","Confirmação Negada..."
"Order #%s: %s","Pedido #%s: %s"
"Payment confirmed (%s). PagSeguro Transaction: %s.","Pagamento confirmado (%s). Transação PagSeguro: %s."
"Invoice Created!","Fatura Criada!"
"Invoice Not Created!","Fatura Não Criada!"
"Payment Returned.","Pagamento Devolvido."
"Payment Canceled.","Pagamento Cancelado."
"Updated Order Status: %s.","Status do Pedido Atualizado: %s."
"ERROR: O value received is different from the stored one (STORED VALUE: %s / RECEIVED VALUE: %s).","ERRO: O valor recebido é diferente do valor original (VALOR ORIGINAL: %s / VALOR RECEBIDO: %s)."
"ERROR: This order was not placed with this payment method.","ERRO: Neste pedido não foi utilizado o PagSeguro como forma de pagamento."
"ERROR: The order reference was not found.","ERRO: Este número de pedido não foi encontrado no sistema."
"Enable Default Return Process","Habilitar Processo de Retorno Automático"
"Enable API Notifications Process","Habilitar Processo de Notificações API"
"Days Range for Consult Orders","Consultar pedidos de 'N' dias anteriores"
"This feature will be available in next versions of this module.","Este recurso estará disponível nas próximas versões deste módulo."
"From %s day(s) before to now","De %s dia(s) anterior(es) até o momento"
"PagSeguro General Configuration","Configurações Gerais do PagSeguro"
"Closed","Fechado"
"Canceled","Cancelado"
"Payment Review","Revisando Pagamento"
"Processing","Processando"
"Holded","Congelado"
"Range of days to consult orders in PagSeguro","Limite entre dias para consultar pedidos no PagSeguro"
"Enables log process. To use this make sure the Magento's log system is enabled.","Habilita processo de log. Para utilizar este recurso certifique-se de que o log de sistema do Magento está habilitado."
"Change the order to this status when PagSeguro send cancel notifications.","Alterar o pedido para este status quando o PagSeguro enviar notificações de cancelamento."
"Change the order to this status when PagSeguro send approved payments notifications.","Alterar o pedido para este status quando o PagSeguro enviar notificações de pedidos com pagamento aprovado."
"Enables notification via API from PagSeguro. To use this feature make sure this configuration is set into your account.","Habilita a notificação via API do PagSeguro. Para utilizar este recurso certifique-se de que esta opção está configurada em sua conta."
"Enables the default return processo from PagSeguro.","Habilita o processo de returno automático padrão do PagSeguro."
"Change Paid Orders to Status","Mudar Status de Pedidos Pagos Para"
"Change Canceled Orders to Status","Mudar Status de Pedidos Cancelados Para"
"Order was canceled by PagSeguro.","O pedido foi cancelado pelo PagSeguro."
"Invoice #%s was created.","Fatura #%s criada."
"Credit Card","Cartão de Crédito"
"Billet","Boleto"
"Online Debit","Débito Online"
"PagSeguro Credit","Crédito PagSeguro"
"Oi Paggo","Oi Paggo"
"Not Provided","Não Informado"
"Check for Order Updates","Verificar Status de Pedidos no PagSeguro"
"Update Orders When Payment Update is Sent by PagSeguro","Atualizar Pedidos Quando Receber Atualizações do PagSeguro"
"Enable the order to be updated when receive returns from PagSeguro.","Permite que o pedido seja atualizado automaticamente quando forem recebidas atualizações de pedidos pelo PagSeguro."
"Defines the max times the payment code created by API call can be used. This parameter can be used as a secure control.","Determina o número máximo de vezes que o código de pagamento criado pela chamada à API de Pagamentos poderá ser usado. Este parâmetro pode ser usado como um controle de segurança."
"Defines the time limit (in seconds) to use a payment code created by API call. This parameter can be used as a secure control.","Determina o prazo (em segundos) durante o qual o código de pagamento criado pela chamada à API de Pagamentos poderá ser usado. Este parâmetro pode ser usado como um controle de segurança."
"Defines an extra amount to be added or discounted from the payment. This value can be presented as an additional tax amount or a dicount in case it is negative.","Especifica um valor extra que deve ser adicionado ou subtraído ao valor total do pagamento. Esse valor pode representar uma taxa extra a ser cobrada no pagamento ou um desconto a ser concedido, caso o valor seja negativo."
"Defines the type of shipping method to be used. This information is used by PagSeguro to calculate, using Correios System, the shipping value based on the weight of the items.","Informa o tipo de frete a ser usado para o envio do produto. Esta informação é usada pelo PagSeguro para calcular, junto aos Correios, o valor do frete a partir do peso dos itens."
"Max Uses","Número Máximo de Usos para o Código de Pagamento"
"Max Age (Seconds)","Prazo de Validade do Código de Pagamento (Segundos)"
"Extra Amount","Valor Adicional ou Desconto"
"Shipping Method (PagSeguro)","Método de Frete (PagSeguro)"
